Time,Total_I,Cell_E,Base_E,Group_E,"I_(1,1)","I_(2,1)","I_(3,1)","I_(1,2)","I_(2,2)","I_(3,2)","I_(1,3)","I_(2,3)","I_(3,3)"
0.0,1.4648e-07,-0.66559,-0.66559,0.0,-1.4395e-06,-2.0633e-05,-3.3109e-05,-2.0633e-05,-3.6947e-05,-2.783e-05,6.2379e-06,6.7177e-05,9.0209e-05
0.504,4.8828e-08,-0.66559,-0.66559,0.0,-1.4395e-06,-1.9193e-05,-3.8867e-05,-1.8714e-05,-3.9826e-05,-3.1189e-05,7.1975e-06,6.2379e-05,8.733e-05
1.0,8.5449e-08,-0.66589,-0.66589,0.0,-9.5967e-07,-1.5355e-05,-3.7427e-05,-1.6794e-05,-4.0306e-05,-3.2149e-05,9.5967e-06,6.0459e-05,8.6371e-05
1.505,2.4414e-08,-0.66498,-0.66498,0.0,-4.7984e-07,-1.5355e-05,-3.7907e-05,-1.7274e-05,-4.1746e-05,-3.2629e-05,7.1975e-06,5.758e-05,8.4451e-05
2.0,-2.7466e-08,-0.66498,-0.66498,0.0,-1.9193e-06,-1.3915e-05,-3.9347e-05,-1.8714e-05,-4.1266e-05,-3.3589e-05,6.2379e-06,5.6141e-05,8.2052e-05
2.505,-9.1553e-09,-0.66528,-0.66528,0.0,-1.9193e-06,-1.2476e-05,-3.8387e-05,-1.8714e-05,-3.9347e-05,-3.2149e-05,4.7984e-06,5.3742e-05,8.3012e-05
3.001,-1.2207e-08,-0.66528,-0.66528,0.0,-1.9193e-06,-1.2956e-05,-3.7907e-05,-1.8714e-05,-3.7427e-05,-3.1669e-05,4.7984e-06,5.1822e-05,8.2052e-05
3.504,2.7466e-08,-0.66528,-0.66528,0.0,-1.9193e-06,-1.1996e-05,-3.7907e-05,-1.8234e-05,-3.3109e-05,-3.023e-05,2.879e-06,5.2302e-05,8.2532e-05
4.001,1.8311e-08,-0.66528,-0.66528,0.0,-1.4395e-06,-1.1036e-05,-3.8387e-05,-1.8714e-05,-3.2629e-05,-3.1669e-05,2.3992e-06,5.1342e-05,8.3012e-05
4.505,6.4087e-08,-0.66498,-0.66498,0.0,-2.3992e-06,-1.1036e-05,-3.7907e-05,-1.8234e-05,-2.975e-05,-2.783e-05,1.4395e-06,5.0383e-05,8.5411e-05
5.001,9.1553e-08,-0.66467,-0.66467,0.0,-1.9193e-06,-1.0077e-05,-3.7907e-05,-1.7754e-05,-2.831e-05,-2.7351e-05,1.4395e-06,5.0863e-05,8.5411e-05
5.5,8.8501e-08,-0.66467,-0.66467,0.0,-1.9193e-06,-1.0077e-05,-3.8387e-05,-1.8714e-05,-2.831e-05,-2.6391e-05,1.4395e-06,5.0863e-05,8.5411e-05
6.005,9.4604e-08,-0.66498,-0.66498,0.0,-1.9193e-06,-1.0077e-05,-3.6468e-05,-1.9193e-05,-2.783e-05,-2.5911e-05,4.7984e-07,5.0383e-05,8.5411e-05
6.5,3.0518e-08,-0.66467,-0.66467,0.0,-1.9193e-06,-1.0077e-05,-3.6947e-05,-2.0633e-05,-2.879e-05,-2.7351e-05,-4.7984e-07,4.7984e-05,8.3012e-05
7.005,8.5449e-08,-0.66498,-0.66498,0.0,-1.4395e-06,-9.1169e-06,-3.5028e-05,-2.0153e-05,-2.7351e-05,-2.4951e-05,-4.7984e-07,4.7504e-05,8.4451e-05
7.5,1.4038e-07,-0.66467,-0.66467,0.0,-1.4395e-06,-7.6774e-06,-3.3589e-05,-1.9193e-05,-2.5431e-05,-2.3992e-05,-4.7984e-07,4.7984e-05,8.5891e-05
8.004,1.0071e-07,-0.66437,-0.66437,0.0,-1.9193e-06,-7.6774e-06,-3.2149e-05,-2.0153e-05,-2.5911e-05,-2.4472e-05,-2.879e-06,4.6064e-05,8.4931e-05
8.501,1.4038e-07,-0.66406,-0.66406,0.0,-1.9193e-06,-5.758e-06,-2.975e-05,-1.9673e-05,-2.4472e-05,-2.3032e-05,-4.3185e-06,4.6544e-05,8.4451e-05
9.005,1.6174e-07,-0.66467,-0.66467,0.0,-1.4395e-06,-4.3185e-06,-2.6871e-05,-1.9193e-05,-2.3992e-05,-2.4472e-05,-2.3992e-06,4.4145e-05,8.3971e-05
9.5,1.4648e-07,-0.66437,-0.66437,0.0,-9.5967e-07,-5.2782e-06,-2.6871e-05,-1.9673e-05,-2.3032e-05,-2.3992e-05,-3.8387e-06,4.2226e-05,8.4451e-05
10.005,1.2207e-07,-0.66437,-0.66437,0.0,-9.5967e-07,-5.2782e-06,-2.783e-05,-2.0633e-05,-2.4472e-05,-2.2552e-05,-5.2782e-06,4.1746e-05,8.4451e-05
10.501,1.4038e-07,-0.66437,-0.66437,0.0,-1.4395e-06,-2.879e-06,-2.7351e-05,-2.0153e-05,-2.3992e-05,-2.2072e-05,-5.2782e-06,3.9826e-05,8.5411e-05
