Time,Total_I,Cell_E,Base_E,Group_E,"I_(1,1)","I_(2,1)","I_(3,1)","I_(1,2)","I_(2,2)","I_(3,2)","I_(1,3)","I_(2,3)","I_(3,3)"
0.0,-3.8147e-07,-0.65033,-0.65033,0.0,6.7177e-06,3.9347e-05,-0.00018378,8.5411e-05,1.0077e-05,-4.7984e-05,8.1572e-06,1.6314e-05,5.758e-06
0.505,-2.8687e-07,-0.65094,-0.65094,0.0,8.1572e-06,4.4625e-05,-0.00017994,9.7407e-05,1.6794e-05,-5.0863e-05,5.758e-06,1.4875e-05,-1.9193e-06
1.0,-2.5024e-07,-0.65063,-0.65063,0.0,6.7177e-06,4.6544e-05,-0.0001785,0.00010173,2.0153e-05,-5.0863e-05,4.7984e-06,1.4875e-05,-4.7984e-06
1.504,-2.0752e-07,-0.65063,-0.65063,0.0,6.7177e-06,4.7024e-05,-0.00017754,0.00010508,2.2072e-05,-5.0383e-05,4.3185e-06,1.6314e-05,-6.2379e-06
2.001,-1.7395e-07,-0.65033,-0.65033,0.0,6.7177e-06,4.7504e-05,-0.00017562,0.000107,2.3512e-05,-4.9903e-05,3.8387e-06,1.7274e-05,-7.6774e-06
2.505,-1.4038e-07,-0.65033,-0.65033,0.0,6.7177e-06,4.8463e-05,-0.00017466,0.00010892,2.4472e-05,-4.8463e-05,3.3589e-06,1.8234e-05,-9.1169e-06
3.001,-1.3428e-07,-0.65002,-0.65002,0.0,5.758e-06,4.8463e-05,-0.00017466,0.00011036,2.4472e-05,-4.7024e-05,2.3992e-06,1.8714e-05,-9.5967e-06
3.506,-1.1902e-07,-0.65002,-0.65002,0.0,5.758e-06,4.8463e-05,-0.0001761,0.00011276,2.4951e-05,-4.6064e-05,2.879e-06,1.8714e-05,-1.0077e-05
4.002,-1.1597e-07,-0.65002,-0.65002,0.0,5.2782e-06,4.8463e-05,-0.00017754,0.00011516,2.4951e-05,-4.5105e-05,2.879e-06,1.8714e-05,-1.1036e-05
4.506,-1.0986e-07,-0.65002,-0.65002,0.0,5.2782e-06,4.9423e-05,-0.00017946,0.00011756,2.5431e-05,-4.4625e-05,2.879e-06,1.8714e-05,-1.2476e-05
5.002,-1.2512e-07,-0.64972,-0.64972,0.0,4.7984e-06,4.9903e-05,-0.00018186,0.00011948,2.5911e-05,-4.4625e-05,2.3992e-06,1.8714e-05,-1.4395e-05
5.506,-1.3123e-07,-0.64941,-0.64941,0.0,4.3185e-06,4.9903e-05,-0.00018522,0.00012188,2.6391e-05,-4.4625e-05,2.3992e-06,2.0153e-05,-1.5835e-05
6.002,-1.6479e-07,-0.64941,-0.64941,0.0,4.3185e-06,4.8463e-05,-0.0001881,0.00012332,2.5431e-05,-4.3665e-05,9.5967e-07,2.0633e-05,-1.7274e-05
